Specie,Long,Lat,LA:SA,Sample,Height,Alpha,MI,References,,,LA:SA (m2 m-2),
Ceratopetalum apetalum ,150.03,-35.58,2.79,trunk,,0.57,0.99,Barrett et al. 1996,,,613.496932515338,
Doryphora sassafras ,150.03,-35.58,2.77,trunk,,0.57,0.99,Barrett et al. 1996,,,584.795321637427,
Eucalyptus maculata ,150.03,-35.58,3.22,trunk,,0.57,0.99,Barrett et al. 1996,,,1655.629139072850,
Eucalyptus camaldulensis ,149.03,-32.70,3.46,trunk,,0.34,0.28,Benyon et al. 1999,,,2881.844380403460,
Eucalyptus camaldulensis ,149.03,-32.70,3.57,trunk,,0.34,0.28,Benyon et al. 1999,,,3703.703703703700,
Eucalyptus camaldulensis ,149.03,-32.70,3.50,trunk,6.7,0.46,0.54,Benyon et al. 1999,,,3174.603174603180,
Eucalyptus camaldulensis ,149.03,-32.70,3.48,trunk,4.8,0.46,0.54,Benyon et al. 1999,,,3030.303030303030,
Eucalyptus occidentalis ,149.03,-32.70,3.51,trunk,,0.34,0.28,Benyon et al. 1999,,,3205.128205128210,
Eucalyptus occidentalis ,149.03,-32.70,3.48,trunk,6.9,0.46,0.54,Benyon et al. 1999,,,3030.303030303030,
Eucalyptus marginata ,116.02,-32.65,3.43,branch,,0.42,0.49,Bleby et al.2009,,,2688.172043010750,
Eucalyptus marginata ,116.02,-32.65,3.58,branch,,0.42,0.49,Bleby et al.2009,,,3816.793893129770,
Eucalyptus marginata ,116.02,-32.65,3.57,branch,,0.42,0.49,Bleby et al.2009,,,3717.472118959110,
Eucalyptus coccifera ,146.58,-42.68,3.54,branch,,0.89,2.30,Brodribb and Felid 2000,,,3484.320557491290,
Atherosperma moschatum ,146.58,-42.68,3.46,branch,,0.89,2.30,Brodribb and Felid 2000,,,2881.844380403460,
Diselma archeri ,146.58,-42.68,2.86,branch,,0.89,2.30,Brodribb and Felid 2000,,,724.637681159421,
Leptospermum rupestre ,146.58,-42.68,3.02,branch,,0.89,2.30,Brodribb and Felid 2000,,,1041.666666666670,
Nothofagus cunninghamii ,146.58,-42.68,3.12,branch,,0.89,2.30,Brodribb and Felid 2000,,,1328.021248339970,
Phyllocladus aspleniifolius ,146.58,-42.68,3.52,branch,,0.89,2.30,Brodribb and Felid 2000,,,3344.481605351180,
Podocarpus lawrencei,146.58,-42.68,3.03,branch,,0.89,2.30,Brodribb and Felid 2000,,,1078.748651564190,
Richea scoparium ,146.58,-42.68,2.68,branch,,0.89,2.30,Brodribb and Felid 2000,,,476.190476190477,
Tasmannia lanceolata ,146.58,-42.68,3.17,branch,,0.89,2.30,Brodribb and Felid 2000,,,1492.537313432840,
Eucalyptus kochii,116.22,-30.04,3.51,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,3246.753246753250,
Eucalyptus kochii,116.22,-30.04,3.49,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,3115.264797507790,
Eucalyptus kochii,116.22,-30.04,3.50,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,3134.796238244520,
Eucalyptus kochii,116.22,-30.04,3.39,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,2463.054187192120,
Eucalyptus kochii,116.22,-30.04,3.39,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,2469.135802469140,
Eucalyptus kochii,116.22,-30.04,3.39,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,2475.247524752480,
Eucalyptus kochii,116.22,-30.04,3.34,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,2207.505518763800,
Eucalyptus kochii,116.22,-30.04,3.34,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,2197.802197802200,
Eucalyptus kochii,116.22,-30.04,3.35,trunk,,0.17,0.19,Brooksbank et al. 2011 ,,,2217.294900221730,
Banksia attenuata  ,115.95,-31.75,3.05,branch,,0.38,0.33,Canham et al. 2009,,,1111.111111111110,
Banksia attenuata  ,115.95,-31.75,3.15,branch,,0.38,0.33,Canham et al. 2009,,,1428.571428571430,
Banksia ilicifolia ,115.95,-31.75,3.10,branch,,0.38,0.33,Canham et al. 2009,,,1250.000000000000,
Banksia ilicifolia ,115.95,-31.75,3.22,branch,,0.38,0.33,Canham et al. 2009,,,1666.666666666670,
Banksia littoralis  ,115.95,-31.75,3.52,branch,,0.38,0.33,Canham et al. 2009,,,3333.333333333330,
Banksia menziesii ,115.95,-31.75,3.15,branch,,0.38,0.33,Canham et al. 2009,,,1428.571428571430,
Banksia menziesii ,115.95,-31.75,3.10,branch,,0.38,0.33,Canham et al. 2009,,,1250.000000000000,
Eucalyptus kochii ,116.21,-30.04,3.47,trunk,,0.18,0.20,Carter and White 2009,,,2941.176470588240,
Eucalyptus kochii ,116.21,-30.04,3.37,trunk,,0.18,0.20,Carter and White 2009,,,2325.581395348840,
Eucalyptus miniata ,131.15,-12.49,3.65,branch,,0.53,0.52,Cernusak et al. 2006,,,4444.444444444450,
Eucalyptus tetrodonta ,131.15,-12.49,3.75,branch,,0.53,0.52,Cernusak et al. 2006,,,5681.818181818190,
Alphitonia excelsa ,145.75,-19.18,3.67,branch,,0.50,0.69,Choat et al. 2005,,,4629.629629629630,
Austromyrtus bidwillii,145.75,-19.18,3.80,branch,,0.50,0.69,Choat et al. 2005,,,6369.426751592370,
Brachychiton australis,145.75,-19.18,3.50,branch,,0.50,0.69,Choat et al. 2005,,,3134.796238244520,
Cochlospermum gillivraei ,145.75,-19.18,3.24,branch,,0.50,0.69,Choat et al. 2005,,,1757.469244288230,
Argyrodendron trifoliolatum ,145.54,-17.38,3.46,branch,,0.77,0.90,Drake and Franks 2003,,,2857.142857142860,
Argyrodendron trifoliolatum ,145.54,-17.38,3.30,branch,,0.77,0.90,Drake and Franks 2003,,,2000.000000000000,
Calamus australis ,145.54,-17.38,4.00,branch,,0.77,0.90,Drake and Franks 2003,,,10000.000000000000,
Calamus australis ,145.54,-17.38,3.82,branch,,0.77,0.90,Drake and Franks 2003,,,6666.666666666670,
Calamus caryotoides ,145.54,-17.38,3.64,branch,,0.77,0.90,Drake and Franks 2003,,,4347.826086956520,
Calamus caryotoides ,145.54,-17.38,3.36,branch,,0.77,0.90,Drake and Franks 2003,,,2272.727272727270,
Castanospora alphandii ,145.54,-17.38,3.89,branch,,0.77,0.90,Drake and Franks 2003,,,7692.307692307700,
Castanospora alphandii ,145.54,-17.38,3.70,branch,,0.77,0.90,Drake and Franks 2003,,,5000.000000000000,
Doryphora aromatica ,145.54,-17.38,3.85,branch,,0.77,0.90,Drake and Franks 2003,,,7142.857142857140,
Doryphora aromatica ,145.54,-17.38,3.46,branch,,0.77,0.90,Drake and Franks 2003,,,2857.142857142860,
Eucalyptus gomphocelia,116.15,-32.15,3.84,branch,,0.48,0.52,Drake et al. 2011,,,6993.006993006990,
Eucalyptus gomphocelia,116.15,-32.15,3.88,branch,,0.48,0.52,Drake et al. 2011,,,7633.587786259540,
Eucalyptus gomphocelia,116.15,-32.15,3.91,branch,,0.48,0.52,Drake et al. 2011,,,8130.081300813020,
Eucalyptus gomphocelia,116.15,-32.15,3.87,branch,,0.48,0.52,Drake et al. 2011,,,7407.407407407410,
Eucalyptus gomphocelia,116.15,-32.15,3.72,branch,,0.48,0.52,Drake et al. 2011,,,5208.333333333340,
Eucalyptus gomphocelia,116.15,-32.15,3.82,branch,,0.48,0.52,Drake et al. 2011,,,6578.947368421060,
Eucalyptus gomphocelia,116.15,-32.15,3.71,branch,,0.48,0.52,Drake et al. 2011,,,5154.639175257740,
Eucalyptus gomphocelia,116.15,-32.15,3.74,branch,,0.48,0.52,Drake et al. 2011,,,5555.555555555560,
Eucalyptus gomphocelia,116.15,-32.15,3.85,branch,,0.48,0.52,Drake et al. 2011,,,7092.198581560290,
Eucalyptus gomphocelia,116.15,-32.15,3.74,branch,,0.48,0.52,Drake et al. 2011,,,5464.480874316950,
Eucalyptus gomphocelia,116.15,-32.15,3.92,branch,,0.48,0.52,Drake et al. 2011,,,8264.462809917360,
Eucalyptus gomphocelia,116.15,-32.15,3.71,branch,,0.48,0.52,Drake et al. 2011,,,5128.205128205140,
Eucalyptus gomphocelia,116.15,-32.15,3.92,branch,,0.48,0.52,Drake et al. 2011,,,8333.333333333340,
Eucalyptus gomphocelia,116.15,-32.15,3.69,branch,,0.48,0.52,Drake et al. 2011,,,4854.368932038840,
Eucalyptus gomphocelia,116.15,-32.15,3.84,branch,,0.48,0.52,Drake et al. 2011,,,6993.006993006990,
Eucalyptus gomphocelia,116.15,-32.15,3.90,branch,,0.48,0.52,Drake et al. 2011,,,7936.507936507940,
Eucalyptus gomphocelia,116.15,-32.15,3.87,branch,,0.48,0.52,Drake et al. 2011,,,7407.407407407410,
Eucalyptus gomphocelia,116.15,-32.15,3.77,branch,,0.48,0.52,Drake et al. 2011,,,5917.159763313610,
Eucalyptus gomphocelia,116.15,-32.15,3.95,branch,,0.48,0.52,Drake et al. 2011,,,9009.009009009010,
Eucalyptus gomphocelia,116.15,-32.15,3.76,branch,,0.48,0.52,Drake et al. 2011,,,5714.285714285720,
Eucalyptus gomphocelia,116.15,-32.15,3.92,branch,,0.48,0.52,Drake et al. 2011,,,8264.462809917360,
Eucalyptus gomphocelia,116.15,-32.15,3.73,branch,,0.48,0.52,Drake et al. 2011,,,5405.405405405410,
Eucalyptus gomphocelia,116.15,-32.15,3.90,branch,,0.48,0.52,Drake et al. 2011,,,7874.015748031510,
Eucalyptus gomphocelia,116.15,-32.15,3.85,branch,,0.48,0.52,Drake et al. 2011,,,7042.253521126780,
Eucalyptus gomphocelia,116.15,-32.15,3.69,branch,,0.48,0.52,Drake et al. 2011,,,4950.495049504950,
Eucalyptus gomphocelia,116.15,-32.15,3.72,branch,,0.48,0.52,Drake et al. 2011,,,5235.602094240840,
Eucalyptus gomphocelia,116.15,-32.15,3.50,branch,,0.48,0.52,Drake et al. 2011,,,3194.888178913740,
Eucalyptus gomphocelia,116.15,-32.15,3.84,branch,,0.48,0.52,Drake et al. 2011,,,6896.551724137940,
Eucalyptus gomphocelia,116.15,-32.15,3.86,branch,,0.48,0.52,Drake et al. 2011,,,7246.376811594220,
Eucalyptus gomphocelia,116.15,-32.15,3.83,branch,,0.48,0.52,Drake et al. 2011,,,6711.409395973160,
Eucalyptus gomphocelia,116.15,-32.15,3.51,branch,,0.48,0.52,Drake et al. 2011,,,3257.328990228010,
Eucalyptus gomphocelia,116.15,-32.15,3.97,branch,,0.48,0.52,Drake et al. 2011,,,9433.962264150950,
Eucalyptus gomphocelia,116.15,-32.15,3.77,branch,,0.48,0.52,Drake et al. 2011,,,5917.159763313610,
Eucalyptus gomphocelia,116.15,-32.15,3.85,branch,,0.48,0.52,Drake et al. 2011,,,7092.198581560290,
Eucalyptus gomphocelia,116.15,-32.15,3.84,branch,,0.48,0.52,Drake et al. 2011,,,6993.006993006990,
Eucalyptus gomphocelia,116.15,-32.15,3.82,branch,,0.48,0.52,Drake et al. 2011,,,6622.516556291390,
Eucalyptus tetrodonta,130.75,-12.05,3.52,trunk,,,,Eamus et al. 2000 ,,,3289.473684210530,
Eucalyptus tetrodonta,130.75,-12.05,3.31,trunk,,,,Eamus et al. 2000 ,,,2020.202020202020,
Eucalyptus tetrodonta,132.65,-14.07,3.67,trunk,,0.48,0.57,Eamus et al. 2000 ,,,4629.629629629630,
Eucalyptus tetrodonta,132.65,-14.07,3.29,trunk,,0.47,0.72,Eamus et al. 2000 ,,,1930.501930501930,
Eucalyptus tetrodonta,133.77,-17.12,3.92,trunk,,0.26,0.27,Eamus et al. 2000 ,,,8264.462809917360,
Eucalyptus tetrodonta,133.77,-17.12,3.50,trunk,,0.20,0.20,Eamus et al. 2000 ,,,3194.888178913740,
Eucalyptus miniata,130.75,-12.05,3.52,trunk,,,,Eamus et al. 2000 ,,,3289.473684210530,
Eucalyptus miniata,130.75,-12.05,3.31,trunk,,,,Eamus et al. 2000 ,,,2020.202020202020,
Eucalyptus miniata,132.65,-14.07,3.67,trunk,,0.48,0.57,Eamus et al. 2000 ,,,4629.629629629630,
Eucalyptus miniata,132.65,-14.07,3.29,trunk,,0.47,0.72,Eamus et al. 2000 ,,,1930.501930501930,
Eucalyptus miniata,133.77,-17.12,3.92,trunk,,0.26,0.27,Eamus et al. 2000 ,,,8264.462809917360,
Eucalyptus miniata,133.77,-17.12,3.50,trunk,,0.20,0.20,Eamus et al. 2000 ,,,3194.888178913740,
Eucalyptus camaldulensis,140.87,-33.98,3.66,trunk,28.55,0.24,0.30,Eldridge et al. 1993 ,,,4608.294930875580,
Eucalyptus largiflorens ,140.87,-33.98,3.59,trunk,7.56,0.24,0.30,Eldridge et al. 1993 ,,,3861.003861003860,
Eucalyptus largiflorens ,140.87,-33.98,3.56,trunk,9.675,0.24,0.30,Eldridge et al. 1993 ,,,3649.635036496350,
Eucalyptus largiflorens ,140.87,-33.98,3.49,trunk,11.2,0.24,0.30,Eldridge et al. 1993 ,,,3076.923076923080,
Eucalyptus largiflorens ,140.87,-33.98,3.39,trunk,8.875,0.24,0.30,Eldridge et al. 1993 ,,,2475.247524752480,
Eucalyptus largiflorens ,140.87,-33.98,3.48,trunk,6.52,0.24,0.30,Eldridge et al. 1993 ,,,3012.048192771090,
Eucalyptus globulus ,143.79,-37.69,3.83,trunk,,0.55,0.69,Forrester et al. 2010a,,,6756.756756756760,
Eucalyptus globulus ,143.79,-37.69,3.83,trunk,,0.55,0.69,Forrester et al. 2010a,,,6756.756756756760,
Eucalyptus globulus ,143.79,-37.69,3.86,trunk,,0.55,0.69,Forrester et al. 2010a,,,7194.244604316560,
Eucalyptus globulus ,143.79,-37.69,3.84,trunk,,0.55,0.69,Forrester et al. 2010a,,,6944.444444444450,
Eucalyptus globulus ,143.79,-37.69,3.86,trunk,,0.55,0.69,Forrester et al. 2010a,,,7194.244604316560,
Eucalyptus globulus ,143.64,-37.61,3.62,trunk,,0.54,0.67,Forrester et al. 2010a,,,4149.377593361000,
Eucalyptus globulus ,143.64,-37.61,3.63,trunk,,0.54,0.67,Forrester et al. 2010a,,,4310.344827586210,
Eucalyptus globulus ,143.64,-37.61,3.59,trunk,,0.54,0.67,Forrester et al. 2010a,,,3921.568627450990,
Eucalyptus globulus ,143.79,-37.69,3.49,trunk,,0.55,0.69,Forrester et al. 2010a,,,3095.975232198140,
Eucalyptus globulus ,143.79,-37.69,3.54,trunk,,0.55,0.69,Forrester et al. 2010a,,,3484.320557491290,
Eucalyptus globulus ,143.79,-37.69,3.56,trunk,,0.55,0.69,Forrester et al. 2010a,,,3623.188405797100,
Eucalyptus globulus ,143.79,-37.69,3.58,trunk,,0.55,0.69,Forrester et al. 2010a,,,3802.281368821290,
Eucalyptus globulus ,143.79,-37.69,3.57,trunk,,0.55,0.69,Forrester et al. 2010a,,,3703.703703703700,
Eucalyptus globulus ,143.64,-37.61,3.44,trunk,,0.54,0.67,Forrester et al. 2010a,,,2754.820936639120,
Eucalyptus globulus ,143.64,-37.61,3.50,trunk,,0.54,0.67,Forrester et al. 2010a,,,3194.888178913740,
Eucalyptus globulus ,143.64,-37.61,3.53,trunk,,0.54,0.67,Forrester et al. 2010a,,,3367.003367003370,
Eucalyptus globulus ,143.79,-37.69,3.50,trunk,,0.55,0.69,Forrester et al. 2010a,,,3194.888178913740,
Eucalyptus globulus ,143.79,-37.69,3.49,trunk,,0.55,0.69,Forrester et al. 2010a,,,3095.975232198140,
Eucalyptus globulus ,143.79,-37.69,3.59,trunk,,0.55,0.69,Forrester et al. 2010a,,,3846.153846153850,
Eucalyptus globulus ,143.79,-37.69,3.54,trunk,,0.55,0.69,Forrester et al. 2010a,,,3496.503496503500,
Eucalyptus globulus ,143.79,-37.69,3.46,trunk,,0.55,0.69,Forrester et al. 2010a,,,2857.142857142860,
Eucalyptus globulus ,144.03,-37.61,3.52,trunk,,0.59,0.76,Forrester et al. 2010a,,,3344.481605351180,
Eucalyptus globulus ,144.03,-37.61,3.47,trunk,,0.59,0.76,Forrester et al. 2010a,,,2976.190476190480,
Eucalyptus globulus ,144.03,-37.61,3.48,trunk,,0.59,0.76,Forrester et al. 2010a,,,3030.303030303030,
Acacia mearnsii ,149.02,-37.58,3.40,trunk,,0.69,0.68,Forrester et al. 2010b,,,2512.562814070350,
Acacia mearnsii ,149.02,-37.58,3.29,trunk,,0.69,0.68,Forrester et al. 2010b,,,1964.636542239690,
Acacia mearnsii ,149.02,-37.58,3.38,trunk,,0.69,0.68,Forrester et al. 2010b,,,2375.296912114020,
Acacia mearnsii ,149.02,-37.58,3.40,trunk,,0.71,0.94,Forrester et al. 2010b,,,2518.891687657430,
Acacia mearnsii ,149.02,-37.58,3.34,trunk,,0.71,0.94,Forrester et al. 2010b,,,2212.389380530980,
Acacia mearnsii ,149.02,-37.58,3.35,trunk,,0.71,0.94,Forrester et al. 2010b,,,2262.443438914030,
Acacia mearnsii ,149.02,-37.58,3.41,trunk,,0.69,0.68,Forrester et al. 2010b,,,2544.529262086520,
Acacia mearnsii ,149.02,-37.58,3.57,trunk,,0.69,0.68,Forrester et al. 2010b,,,3690.036900369010,
Acacia mearnsii ,149.02,-37.58,3.45,trunk,,0.69,0.68,Forrester et al. 2010b,,,2832.861189801700,
Acacia mearnsii ,149.02,-37.58,3.37,trunk,,0.71,0.94,Forrester et al. 2010b,,,2325.581395348840,
Acacia mearnsii ,149.02,-37.58,3.34,trunk,,0.71,0.94,Forrester et al. 2010b,,,2188.183807439830,
Acacia mearnsii ,149.02,-37.58,3.36,trunk,,0.71,0.94,Forrester et al. 2010b,,,2283.105022831050,
Eucalyptus globulus ,149.02,-37.58,3.28,trunk,,0.69,0.68,Forrester et al. 2010b,,,1893.939393939400,
Eucalyptus globulus ,149.02,-37.58,3.59,trunk,,0.69,0.68,Forrester et al. 2010b,,,3891.050583657590,
Eucalyptus globulus ,149.02,-37.58,3.35,trunk,,0.69,0.68,Forrester et al. 2010b,,,2262.443438914030,
